sample_id	target	replicate	assay	condition	gsm	on_disk
14492	Kar4	rep1	ChIP-exo	normal	GSM4449576	yes
14972	Kar4	rep2	ChIP-exo	normal	GSM4449577	yes
17983	Kin28	rep1	ChIP-exo	normal	GSM4449578	yes
19392	Kin28	rep2	ChIP-exo	normal	GSM4449579	yes
14180	Kss1	rep1	ChIP-exo	normal	GSM4449580	
17935	Kti12	rep1	ChIP-exo	normal	GSM4449581	
18473	Lea1	rep1	ChIP-exo	normal	GSM4449582	yes
20437	Lea1	rep2	ChIP-exo	normal	GSM4449583	yes
11773	Leo1	rep1	ChIP-exo	normal	GSM4449584	yes
13793	Leo1	rep2	ChIP-exo	normal	GSM4449585	yes
14199	Leu3	rep1	ChIP-exo	normal	GSM4449586	yes
15669	Leu3	rep2	ChIP-exo	normal	GSM4449587	yes
14417	Lge1	rep1	ChIP-exo	normal	GSM4449588	
13464	Lot5	rep1	ChIP-exo	normal	GSM4449589	
12140	Lrg1	rep1	ChIP-exo	normal	GSM4449590	
14428	Lys14	rep1	ChIP-exo	normal	GSM4449591	yes
14817	Lys14	rep2	ChIP-exo	normal	GSM4449592	yes
12114	Lys20	rep1	ChIP-exo	normal	GSM4449593	yes
17012	Lys20	rep2	ChIP-exo	normal	GSM4449594	yes
12089	Lys21	rep1	ChIP-exo	normal	GSM4449595	yes
15656	Lys21	rep2	ChIP-exo	normal	GSM4449596	yes
12006	Mac1	rep1	ChIP-exo	normal	GSM4449597	yes
13808	Mac1	rep2	ChIP-exo	normal	GSM4449598	yes
11824	Maf1	rep1	ChIP-exo	normal	GSM4449599	yes
17010	Maf1	rep2	ChIP-exo	normal	GSM4449600	yes
14847	Mal33	rep1	ChIP-exo	normal	GSM4449601	
12869	Mas6	rep1	ChIP-exo	normal	GSM4449602	
14496	Matalpha2	rep1	ChIP-exo	normal	GSM4449603	yes
14973	Matalpha2	rep2	ChIP-exo	normal	GSM4449604	yes
17115	Mbf1	rep1	ChIP-exo	normal	GSM4449605	
12937	Mbp1	rep1	ChIP-exo	normal	GSM4449606	yes
15655	Mbp1	rep2	ChIP-exo	normal	GSM4449607	yes
14362	Mca1	rep1	ChIP-exo	normal	GSM4449608	
14797	Mcd1	rep1	ChIP-exo	normal	GSM4449609	yes
13441	Mck1	rep1	ChIP-exo	normal	GSM4449610	
12441	Mcm1	rep1	ChIP-exo	normal	GSM4449611	yes
14618	Mcm1	rep2	ChIP-exo	normal	GSM4449612	yes
14480	Mcm16	rep1	ChIP-exo	normal	GSM4449613	yes
14997	Mcm16	rep2	ChIP-exo	normal	GSM4449614	yes
14983	Med1	rep1	ChIP-exo	normal	GSM4449615	
16043	Med11	rep1	ChIP-exo	normal	GSM4449616	yes
18486	Med11	rep2	ChIP-exo	normal	GSM4449617	yes
12084	Med2	rep1	ChIP-exo	normal	GSM4449618	yes
15187	Med2	rep2	ChIP-exo	normal	GSM4449619	yes
17969	Med20	rep1	ChIP-exo	normal	GSM4449620	
12083	Med4	rep1	ChIP-exo	normal	GSM4449621	yes
14611	Med4	rep2	ChIP-exo	normal	GSM4449622	yes
12470	Med6	rep1	ChIP-exo	normal	GSM4449623	yes
15800	Med6	rep2	ChIP-exo	normal	GSM4449624	yes
17597	Med8	rep1	ChIP-exo	normal	GSM4449625	
14191	Met18	rep1	ChIP-exo	normal	GSM4449626	
11797	Met28	rep1	ChIP-exo	normal	GSM4449627	
19657	Met28	rep2	ChIP-exo	6 min heat shock	GSM4449628	
28348	Met28	rep3	ChIP-exo	normal	GSM4449629	
13211	Met30	rep1	ChIP-exo	normal	GSM4449630	
11806	Met31	rep1	ChIP-exo	normal	GSM4449631	yes
15634	Met31	rep2	ChIP-exo	normal	GSM4449632	yes
12464	Met32	rep1	ChIP-exo	normal	GSM4449633	yes
15791	Met32	rep2	ChIP-exo	normal	GSM4449634	yes
11990	Met4	rep1	ChIP-exo	normal	GSM4449635	yes
20438	Met4	rep2	ChIP-exo	normal	GSM4449636	yes
12130	Mft1	rep1	ChIP-exo	normal	GSM4449637	yes
13813	Mft1	rep2	ChIP-exo	normal	GSM4449638	yes
11908	Mga2	rep1	ChIP-exo	normal	GSM4449639	
16540	Mif2	rep1	ChIP-exo	normal	GSM4449640	yes
18474	Mif2	rep2	ChIP-exo	normal	GSM4449641	yes
17869	Mig1	rep1	ChIP-exo	normal	GSM4449642	yes
19327	Mig1	rep2	ChIP-exo	normal	GSM4449643	yes
12946	Mig2	rep1	ChIP-exo	normal	GSM4449644	yes
18493	Mig2	rep2	ChIP-exo	normal	GSM4449645	yes
14854	Mig3	rep1	ChIP-exo	normal	GSM4449646	
14846	Mks1	rep1	ChIP-exo	normal	GSM4450379	
12425	Mlp1	rep1	ChIP-exo	normal	GSM4449647	yes
17196	Mlp1	rep2	ChIP-exo	normal	GSM4449648	yes
14382	Mor1	rep1	ChIP-exo	normal	GSM4449649	
17039	Mot1	rep1	ChIP-exo	normal	GSM4449650	yes
17985	Mot2	rep1	ChIP-exo	normal	GSM4449652	
11807	Mot3	rep1	ChIP-exo	normal	GSM4449653	
14292	Mot3	rep2	ChIP-exo	normal	GSM4449654	
14772	Mre11	rep1	ChIP-exo	normal	GSM4449655	
14525	Msc6	rep1	ChIP-exo	normal	GSM4449656	
17960	Msi1	rep1	ChIP-exo	normal	GSM4449657	
17125	Msn1	rep1	ChIP-exo	normal	GSM4449658	
8584	Msn2	rep1	ChIP-exo	normal	GSM4449659	yes
14839	Msn4	rep1	ChIP-exo	normal	GSM4449660	
15218	Mss11	rep1	ChIP-exo	normal	GSM4449661	yes
15661	Mss11	rep2	ChIP-exo	normal	GSM4449662	yes
17038	Mth1	rep1	ChIP-exo	normal	GSM4449663	
17796	Mud1	rep1	ChIP-exo	normal	GSM4449664	yes
19309	Mud1	rep2	ChIP-exo	normal	GSM4449665	yes
13449	Mus81	rep1	ChIP-exo	normal	GSM4449666	
14384	Mxr1	rep1	ChIP-exo	normal	GSM4449667	
15000	Nab2	rep1	ChIP-exo	normal	GSM4449668	yes
17118	Nab2	rep2	ChIP-exo	normal	GSM4449669	yes
14379	Naf1	rep1	ChIP-exo	normal	GSM4449670	yes
15004	Naf1	rep2	ChIP-exo	normal	GSM4449671	yes
14526	Nan1	rep1	ChIP-exo	normal	GSM4449672	
17868	Nap1	rep1	ChIP-exo	normal	GSM4449673	
12861	Ncb2	rep1	ChIP-exo	normal	GSM4449674	yes
20439	Ncb2	rep2	ChIP-exo	normal	GSM4449675	yes
20440	Ncl1	rep1	ChIP-exo	normal	GSM4449676	
14590	Ndd1	rep1	ChIP-exo	normal	GSM4449677	yes
17949	Ndd1	rep2	ChIP-exo	normal	GSM4449678	yes
12066	Net1	rep1	ChIP-exo	normal	GSM4449679	
17953	Nfi1	rep1	ChIP-exo	normal	GSM4449680	yes
12092	Ngg1	rep1	ChIP-exo	normal	GSM4449681	yes
17767	Ngg1	rep2	ChIP-exo	normal	GSM4449682	yes
17788	Nhp10	rep1	ChIP-exo	normal	GSM4449683	
24336	Nhp10	rep2	ChIP-exo	normal	GSM4449684	
12052	Nhp6a	rep1	ChIP-exo	normal	GSM4449685	yes
14606	Nhp6a	rep2	ChIP-exo	normal	GSM4449686	yes
14468	Nic96	rep1	ChIP-exo	normal	GSM4449687	
14861	Nkp1	rep1	ChIP-exo	normal	GSM4449688	yes
17055	Nkp1	rep2	ChIP-exo	normal	GSM4449689	yes
12455	Nkp2	rep1	ChIP-exo	normal	GSM4449690	yes
14620	Nkp2	rep2	ChIP-exo	normal	GSM4449691	yes
14764	Nma1	rep1	ChIP-exo	normal	GSM4449692	
14401	Nma2	rep1	ChIP-exo	normal	GSM4449693	
14532	Nmd5	rep1	ChIP-exo	normal	GSM4449694	
20442	Nnf2	rep1	ChIP-exo	normal	GSM4449695	
13474	Nog2	rep1	ChIP-exo	normal	GSM4449696	
13804	Nop58	rep1	ChIP-exo	normal	GSM4449697	
12947	Not3	rep1	ChIP-exo	normal	GSM4449698	
13154	Not5	rep1	ChIP-exo	normal	GSM4449699	
17126	Npl3	rep1	ChIP-exo	normal	GSM4449700	yes
18460	Npl3	rep2	ChIP-exo	normal	GSM4449701	yes
17926	Npl6	rep1	ChIP-exo	normal	GSM4449702	
11900	Nrd1	rep1	ChIP-exo	normal	GSM4449703	yes
14265	Nrd1	rep2	ChIP-exo	normal	GSM4449704	yes
14419	Nrg1	rep1	ChIP-exo	normal	GSM4449705	yes
14812	Nrg1	rep2	ChIP-exo	normal	GSM4449706	yes
11998	Nrg2	rep1	ChIP-exo	normal	GSM4449707	yes
16023	Nrg2	rep2	ChIP-exo	normal	GSM4449708	yes
12878	Nrm1	rep1	ChIP-exo	normal	GSM4449709	yes
15792	Nrm1	rep2	ChIP-exo	normal	GSM4449710	yes
12110	Nsa2	rep1	ChIP-exo	normal	GSM4449711	
12007	Nsp1	rep1	ChIP-exo	normal	GSM4449712	
14779	Nsr1	rep1	ChIP-exo	normal	GSM4449713	
17779	Nto1	rep1	ChIP-exo	normal	GSM4449714	
14858	Nup42	rep1	ChIP-exo	normal	GSM4449715	
18007	Nut1	rep1	ChIP-exo	normal	GSM4449716	yes
18485	Nut1	rep2	ChIP-exo	normal	GSM4449717	yes
12054	Nut2	rep1	ChIP-exo	normal	GSM4449718	yes
17863	Nut2	rep2	ChIP-exo	normal	GSM4449719	yes
14404	Oaf1	rep1	ChIP-exo	normal	GSM4449720	
14355	Oaf3	rep1	ChIP-exo	normal	GSM4449721	yes
14995	Oaf3	rep2	ChIP-exo	normal	GSM4449722	yes
14474	Orc1	rep1	ChIP-exo	normal	GSM4449723	yes
16352	Orc1	rep2	ChIP-exo	normal	GSM4449724	yes
17775	Orc2	rep1	ChIP-exo	normal	GSM4449725	yes
19306	Orc2	rep2	ChIP-exo	normal	GSM4449726	yes
17147	Orc4	rep1	ChIP-exo	normal	GSM4449727	yes
18466	Orc4	rep2	ChIP-exo	normal	GSM4449728	yes
17148	Orc5	rep1	ChIP-exo	normal	GSM4449729	yes
18467	Orc5	rep2	ChIP-exo	normal	GSM4449730	yes
14534	Orc6	rep1	ChIP-exo	normal	GSM4449731	yes
16527	Orc6	rep2	ChIP-exo	normal	GSM4449732	yes
14470	Otu1	rep1	ChIP-exo	normal	GSM4449733	
17928	Pab1	rep1	ChIP-exo	normal	GSM4449734	
11750	Paf1	rep1	ChIP-exo	normal	GSM4449735	yes
15772	Paf1	rep2	ChIP-exo	normal	GSM4449736	yes
14530	Pap1	rep1	ChIP-exo	normal	GSM4449737	yes
17875	Pap1	rep2	ChIP-exo	normal	GSM4449738	yes
12085	Pat1	rep1	ChIP-exo	normal	GSM4449739	
13148	Pcf11	rep1	ChIP-exo	normal	GSM4449740	yes
15486	Pcf11	rep2	ChIP-exo	normal	GSM4449741	yes
14870	Pcl9	rep1	ChIP-exo	normal	GSM4449742	
14395	Pct1	rep1	ChIP-exo	normal	GSM4449743	
13442	Pdc1	rep1	ChIP-exo	normal	GSM4449744	
16586	Pdr1	rep1	ChIP-exo	normal	GSM4449745	yes
18497	Pdr1	rep2	ChIP-exo	normal	GSM4449746	yes
17769	Pdr3	rep1	ChIP-exo	normal	GSM4449747	yes
20443	Pdr3	rep2	ChIP-exo	normal	GSM4449748	yes
12055	Pgd1	rep1	ChIP-exo	normal	GSM4449749	yes
13819	Pgd1	rep2	ChIP-exo	normal	GSM4449750	yes
14596	Phd1	rep1	ChIP-exo	normal	GSM4449751	yes
17018	Phd1	rep2	ChIP-exo	normal	GSM4449752	yes
12137	Pho2	rep1	ChIP-exo	normal	GSM4449753	
11761	Pho23	rep1	ChIP-exo	normal	GSM4449754	yes
15191	Pho23	rep2	ChIP-exo	normal	GSM4449755	yes
14840	Pho4	rep1	ChIP-exo	normal	GSM4449756	
12037	Pho80	rep1	ChIP-exo	normal	GSM4449757	
12849	Pho85	rep1	ChIP-exo	normal	GSM4449758	
16604	Pip2	rep1	ChIP-exo	normal	GSM4449759	yes
18476	Pip2	rep2	ChIP-exo	normal	GSM4449760	yes
17143	Plo1	rep1	ChIP-exo	normal	GSM4449761	
17772	Plo2	rep1	ChIP-exo	normal	GSM4449762	
12840	Plp1	rep1	ChIP-exo	normal	GSM4449763	
14186	Plp2	rep1	ChIP-exo	normal	GSM4449764	
14393	Pnc1	rep1	ChIP-exo	normal	GSM4449765	
12117	Png1	rep1	ChIP-exo	normal	GSM4449766	
12060	Pob3	rep1	ChIP-exo	normal	GSM4449767	yes
14285	Pob3	rep2	ChIP-exo	normal	GSM4449768	yes
17153	Pog1	rep1	ChIP-exo	normal	GSM4449769	
17135	Pol1	rep1	ChIP-exo	normal	GSM4449770	
17150	Pol2	rep1	ChIP-exo	normal	GSM4449771	
12932	Pop2	rep1	ChIP-exo	normal	GSM4449772	
13473	Pre2	rep1	ChIP-exo	normal	GSM4449773	
13459	Pre4	rep1	ChIP-exo	normal	GSM4449774	
14501	Pre8	rep1	ChIP-exo	normal	GSM4449775	
17141	Prp4	rep1	ChIP-exo	normal	GSM4449776	yes
18465	Prp4	rep2	ChIP-exo	normal	GSM4449777	yes
17892	Prp45	rep1	ChIP-exo	normal	GSM4449778	yes
17965	Prp45	rep2	ChIP-exo	normal	GSM4449779	yes
17155	Prp46	rep1	ChIP-exo	normal	GSM4449780	yes
18469	Prp46	rep2	ChIP-exo	normal	GSM4449781	yes
14864	Prr2	rep1	ChIP-exo	normal	GSM4449782	
17970	Psh1	rep1	ChIP-exo	normal	GSM4449783	
14533	Psy2	rep1	ChIP-exo	normal	GSM4449784	
14413	Pta1	rep1	ChIP-exo	normal	GSM4450380	
15003	Pta1	rep2	ChIP-exo	normal	GSM4449785	
13455	Ptc3	rep1	ChIP-exo	normal	GSM4449786	
14999	Pub1	rep1	ChIP-exo	normal	GSM4449787	yes
18482	Pub1	rep2	ChIP-exo	normal	GSM4449788	yes
12074	Pup1	rep1	ChIP-exo	normal	GSM4449789	
14373	Pus4	rep1	ChIP-exo	normal	GSM4449790	
12872	Put3	rep1	ChIP-exo	normal	GSM4449791	yes
26016	Put3	rep2	ChIP-exo	normal	GSM4449792	yes
13476	Pwp1	rep1	ChIP-exo	normal	GSM4449793	
14372	Pzf1	rep1	ChIP-exo	normal	GSM4449794	
14790	Qri1	rep1	ChIP-exo	normal	GSM4449795	
12424	Qri8	rep1	ChIP-exo	normal	GSM4449796	
16013	RIM20	rep1	ChIP-exo	normal	GSM4449850	
11868	RPB11	rep1	ChIP-exo	normal	GSM4449878	
13801	RPB11	rep2	ChIP-exo	normal	GSM4449879	
14356	RPC40	rep1	ChIP-exo	normal	GSM4449902	yes
14654	RPC40	rep2	ChIP-exo	normal	GSM4449903	yes
17885	RSC4	rep1	ChIP-exo	normal	GSM4449942	
14388	Rad2	rep1	ChIP-exo	normal	GSM4449797	
13155	Rad3	rep1	ChIP-exo	normal	GSM4449798	yes
17791	Rad3	rep2	ChIP-exo	normal	GSM4449799	yes
14502	Rad30	rep1	ChIP-exo	normal	GSM4449800	
13447	Rad50	rep1	ChIP-exo	normal	GSM4449801	
14663	Rad51	rep1	ChIP-exo	normal	GSM4449802	
13461	Rad52	rep1	ChIP-exo	normal	GSM4449803	
14433	Rad54	rep1	ChIP-exo	normal	GSM4449804	
14795	Rad55	rep1	ChIP-exo	normal	GSM4449805	
14787	Rad57	rep1	ChIP-exo	normal	GSM4449806	
11753	Rad6	rep1	ChIP-exo	normal	GSM4449807	yes
15260	Rad6	rep2	ChIP-exo	normal	GSM4449808	yes
16555	Rad9	rep1	ChIP-exo	normal	GSM4449809	
20974	Rad9	rep2	ChIP-exo	normal	GSM4449810	
17962	Rai1	rep1	ChIP-exo	normal	GSM4449811	
11765	Rap1	rep1	ChIP-exo	normal	GSM4449812	yes
15258	Rap1	rep2	ChIP-exo	normal	GSM4449813	yes
19998	Rap1	rep3	ChIP-exo	normal	GSM4449814	yes
16230	Rat1	rep1	ChIP-exo	normal	GSM4449815	
14819	Rco1	rep1	ChIP-exo	normal	GSM4449816	
12001	Rcs1	rep1	ChIP-exo	normal	GSM4449817	yes
14197	Rcs1	rep2	ChIP-exo	normal	GSM4449818	yes
14853	Rdr1	rep1	ChIP-exo	normal	GSM4449819	
14461	Rds2	rep1	ChIP-exo	normal	GSM4449820	yes
14968	Rds2	rep2	ChIP-exo	normal	GSM4449821	yes
12141	Reb1	rep1	ChIP-exo	normal	GSM4449822	yes
12467	Reb1	rep2	ChIP-exo	normal	GSM4449823	yes
18479	Ref2	rep1	ChIP-exo	normal	GSM4449824	yes
20445	Ref2	rep2	ChIP-exo	normal	GSM4449825	yes
14429	Reg1	rep1	ChIP-exo	normal	GSM4449826	
14869	Reg2	rep1	ChIP-exo	normal	GSM4449827	
14412	Rei1	rep1	ChIP-exo	normal	GSM4450385	
12119	Ret1	rep1	ChIP-exo	normal	GSM4449828	yes
14281	Ret1	rep2	ChIP-exo	normal	GSM4449829	yes
15012	Rfa1	rep1	ChIP-exo	normal	GSM4449830	
17776	Rfc1	rep1	ChIP-exo	normal	GSM4449831	
17777	Rfc5	rep1	ChIP-exo	normal	GSM4449832	
14539	Rfm1	rep1	ChIP-exo	normal	GSM4449833	
12938	Rfx1	rep1	ChIP-exo	normal	GSM4449834	yes
16548	Rfx1	rep2	ChIP-exo	normal	GSM4449835	yes
12047	Rgm1	rep1	ChIP-exo	normal	GSM4449836	
17780	Rgm1	rep2	ChIP-exo	normal	GSM4449837	
12124	Rgr1	rep1	ChIP-exo	normal	GSM4449838	yes
13812	Rgr1	rep2	ChIP-exo	normal	GSM4449839	yes
16011	Rgt1	rep1	ChIP-exo	normal	GSM4449840	
20446	Rgt1	rep2	ChIP-exo	normal	GSM4449841	
14425	Rhr2	rep1	ChIP-exo	normal	GSM4449842	
14794	Rib1	rep1	ChIP-exo	normal	GSM4449843	
14375	Rib4	rep1	ChIP-exo	normal	GSM4449844	
12428	Rif1	rep1	ChIP-exo	normal	GSM4449845	yes
17117	Rif1	rep2	ChIP-exo	normal	GSM4449846	yes
17883	Rif2	rep1	ChIP-exo	normal	GSM4449847	yes
19331	Rif2	rep2	ChIP-exo	normal	GSM4449848	yes
16010	Rim101	rep1	ChIP-exo	normal	GSM4449849	
14789	Rio2	rep1	ChIP-exo	normal	GSM4449851	
17996	Rlf2	rep1	ChIP-exo	normal	GSM4449852	
13150	Rlm1	rep1	ChIP-exo	normal	GSM4449853	yes
17871	Rlm1	rep2	ChIP-exo	normal	GSM4449854	yes
14816	Rlr1	rep1	ChIP-exo	normal	GSM4449855	yes
17997	Rlr1	rep2	ChIP-exo	normal	GSM4449856	yes
14454	Rms1	rep1	ChIP-exo	normal	GSM4449857	
14381	Rmt2	rep1	ChIP-exo	normal	GSM4449858	
12935	Rna14	rep1	ChIP-exo	normal	GSM4449859	yes
14633	Rna14	rep2	ChIP-exo	normal	GSM4449860	yes
12871	Rox1	rep1	ChIP-exo	normal	GSM4449861	yes
18502	Rox1	rep2	ChIP-exo	normal	GSM4449862	yes
17804	Rox3	rep1	ChIP-exo	normal	GSM4449863	
19404	Rox3	rep2	ChIP-exo	normal	GSM4449864	
11822	Rpa12	rep1	ChIP-exo	normal	GSM4449865	yes
16546	Rpa12	rep2	ChIP-exo	normal	GSM4449866	yes
14776	Rpa135	rep1	ChIP-exo	normal	GSM4449867	yes
17888	Rpa135	rep2	ChIP-exo	normal	GSM4449868	yes
12104	Rpa14	rep1	ChIP-exo	normal	GSM4449869	
17578	Rpa14	rep2	ChIP-exo	normal	GSM4449870	
11876	Rpa190	rep1	ChIP-exo	normal	GSM4449871	
17596	Rpa190	rep2	ChIP-exo	normal	GSM4449872	
12097	Rpa34	rep1	ChIP-exo	normal	GSM4449873	yes
17562	Rpa34	rep2	ChIP-exo	normal	GSM4449874	yes
14260	Rpa43	rep1	ChIP-exo	normal	GSM4449875	
16026	Rpa43	rep2	ChIP-exo	normal	GSM4449876	
17572	Rpa49	rep1	ChIP-exo	normal	GSM4449877	
14410	Rpb10	rep1	ChIP-exo	normal	GSM4450384	
12123	Rpb2	rep1	ChIP-exo	normal	GSM4449880	yes
14282	Rpb2	rep2	ChIP-exo	normal	GSM4449881	yes
8929	Rpb3	rep1	ChIP-exo	3 min heat shock	GSM4449882	yes
11746	Rpb3	rep2	ChIP-exo	normal	GSM4449883	yes
19398	Rpb3	rep3	ChIP-exo	normal	GSM4449884	yes
14834	Rpb4	rep1	ChIP-exo	normal	GSM4449885	yes
17052	Rpb4	rep2	ChIP-exo	normal	GSM4449886	yes
12115	Rpb7	rep1	ChIP-exo	normal	GSM4449887	yes
14280	Rpb7	rep2	ChIP-exo	normal	GSM4449888	yes
11869	Rpb9	rep1	ChIP-exo	normal	GSM4449889	yes
14256	Rpb9	rep2	ChIP-exo	normal	GSM4449890	yes
11823	Rpc17	rep1	ChIP-exo	normal	GSM4449891	yes
14298	Rpc17	rep2	ChIP-exo	normal	GSM4449892	yes
11884	Rpc19	rep1	ChIP-exo	normal	GSM4449893	yes
13802	Rpc19	rep2	ChIP-exo	normal	GSM4449894	yes
12421	Rpc25	rep1	ChIP-exo	normal	GSM4449895	yes
14614	Rpc25	rep2	ChIP-exo	normal	GSM4449896	yes
14833	Rpc31	rep1	ChIP-exo	normal	GSM4449897	
14832	Rpc34	rep1	ChIP-exo	normal	GSM4449898	yes
19335	Rpc34	rep2	ChIP-exo	normal	GSM4449899	yes
17964	Rpc37	rep1	ChIP-exo	normal	GSM4449900	yes
18484	Rpc37	rep2	ChIP-exo	normal	GSM4449901	yes
14351	Rpc53	rep1	ChIP-exo	normal	GSM4449904	yes
14652	Rpc53	rep2	ChIP-exo	normal	GSM4449905	yes
19326	Rpc82	rep1	ChIP-exo	normal	GSM4449906	
11754	Rpd3	rep1	ChIP-exo	normal	GSM4449907	yes
17858	Rpd3	rep2	ChIP-exo	normal	GSM4449908	yes
16038	Rph1	rep1	ChIP-exo	normal	GSM4449909	yes
17854	Rph1	rep2	ChIP-exo	normal	GSM4449910	yes
14780	Rpn11	rep1	ChIP-exo	normal	GSM4449911	
14371	Rpn14	rep1	ChIP-exo	normal	GSM4449912	
11941	Rpn4	rep1	ChIP-exo	normal	GSM4449913	yes
13807	Rpn4	rep2	ChIP-exo	normal	GSM4449914	yes
17782	Rpo21	rep1	ChIP-exo	normal	GSM4449915	yes
19307	Rpo21	rep2	ChIP-exo	normal	GSM4449916	yes
17130	Rpo31	rep1	ChIP-exo	normal	GSM4449917	yes
18461	Rpo31	rep2	ChIP-exo	normal	GSM4449918	yes
12038	Rrd1	rep1	ChIP-exo	normal	GSM4449919	
20448	Rrn10	rep1	ChIP-exo	normal	GSM4449920	yes
20990	Rrn10	rep2	ChIP-exo	normal	GSM4449921	yes
12846	Rrn11	rep1	ChIP-exo	normal	GSM4449922	
16531	Rrn5	rep1	ChIP-exo	normal	GSM4449923	yes
17212	Rrn5	rep2	ChIP-exo	normal	GSM4449924	yes
14424	Rrn6	rep1	ChIP-exo	normal	GSM4449925	yes
15005	Rrn6	rep2	ChIP-exo	normal	GSM4449926	yes
12837	Rrn7	rep1	ChIP-exo	normal	GSM4449927	
16516	Rrn9	rep1	ChIP-exo	normal	GSM4449928	yes
17207	Rrn9	rep2	ChIP-exo	normal	GSM4449929	yes
14427	Rrp4	rep1	ChIP-exo	normal	GSM4449930	
14477	Rrp42	rep1	ChIP-exo	normal	GSM4449931	
12065	Rsc1	rep1	ChIP-exo	normal	GSM4449932	yes
15165	Rsc1	rep2	ChIP-exo	6 min heat shock	GSM4449933	yes
15809	Rsc1	rep3	ChIP-exo	normal	GSM4449934	yes
15816	Rsc1	rep4	ChIP-exo	6 min heat shock	GSM4449935	yes
17957	Rsc2	rep1	ChIP-exo	normal	GSM4449936	
11848	Rsc3	rep1	ChIP-exo	normal	GSM4449937	yes
15808	Rsc3	rep2	ChIP-exo	normal	GSM4449938	yes
15815	Rsc3	rep3	ChIP-exo	6 min heat shock	GSM4449939	yes
19678	Rsc3	rep4	ChIP-exo	6 min heat shock	GSM4449940	yes
17048	Rsc30	rep1	ChIP-exo	normal	GSM4449941	yes
11855	Rsc58	rep1	ChIP-exo	normal	GSM4449943	yes
15803	Rsc58	rep2	ChIP-exo	normal	GSM4449944	yes
15810	Rsc58	rep3	ChIP-exo	6 min heat shock	GSM4449945	yes
11856	Rsc6	rep1	ChIP-exo	normal	GSM4449946	yes
15807	Rsc6	rep2	ChIP-exo	normal	GSM4449947	yes
15814	Rsc6	rep3	ChIP-exo	6 min heat shock	GSM4449948	yes
12079	Rsc8	rep1	ChIP-exo	normal	GSM4449949	yes
15804	Rsc8	rep2	ChIP-exo	normal	GSM4449950	yes
12276	Rsc9	rep1	ChIP-exo	normal	GSM4449951	yes
15806	Rsc9	rep2	ChIP-exo	normal	GSM4449952	yes
19834	Rsc9	rep3	ChIP-exo	6 min heat shock	GSM4449953	yes
19898	Rsc9	rep4	ChIP-exo	6 min heat shock	GSM4449954	yes
14862	Rsp5	rep1	ChIP-exo	normal	GSM4449955	
12031	Rtf1	rep1	ChIP-exo	normal	GSM4450383	
14623	Rtf1	rep2	ChIP-exo	normal	GSM4449956	yes
11742	Rtg1	rep1	ChIP-exo	normal	GSM4449957	
14463	Rtg2	rep1	ChIP-exo	normal	GSM4449958	
11976	Rtg3	rep1	ChIP-exo	normal	GSM4449959	yes
15189	Rtg3	rep2	ChIP-exo	normal	GSM4449960	yes
18499	Rtr1	rep1	ChIP-exo	normal	GSM4449961	yes
12106	Rts2	rep1	ChIP-exo	normal	GSM4449962	yes
17585	Rts2	rep2	ChIP-exo	normal	GSM4449963	yes
11890	Rtt102	rep1	ChIP-exo	normal	GSM4449964	yes
16032	Rtt102	rep2	ChIP-exo	normal	GSM4449965	yes
12944	Rtt103	rep1	ChIP-exo	normal	GSM4449966	yes
16576	Rtt103	rep2	ChIP-exo	normal	GSM4449967	yes
11915	Rtt106	rep1	ChIP-exo	normal	GSM4449968	yes
17933	Rtt109	rep1	ChIP-exo	normal	GSM4449969	
17014	Rvb1	rep1	ChIP-exo	normal	GSM4449970	yes
22433	Rvb1	rep2	ChIP-exo	normal	GSM4449971	yes
14538	Rvb2	rep1	ChIP-exo	normal	GSM4449972	
12933	Rxt1	rep1	ChIP-exo	normal	GSM4449973	yes
18018	Rxt1	rep2	ChIP-exo	normal	GSM4449974	yes
16037	Rxt2	rep1	ChIP-exo	normal	GSM4449975	yes
17853	Rxt2	rep2	ChIP-exo	normal	GSM4449976	yes
12942	Rxt3	rep1	ChIP-exo	normal	GSM4449977	yes
18015	Rxt3	rep2	ChIP-exo	normal	GSM4449978	yes
12855	Sam4	rep1	ChIP-exo	normal	GSM4449979	
15771	Sap30	rep1	ChIP-exo	normal	GSM4449980	yes
17156	Sap30	rep2	ChIP-exo	normal	GSM4449981	yes
16030	Sas2	rep1	ChIP-exo	normal	GSM4449982	
18017	Sas3	rep1	ChIP-exo	normal	GSM4449983	
17937	Sas4	rep1	ChIP-exo	normal	GSM4449984	
17560	Sas5	rep1	ChIP-exo	normal	GSM4449985	
11909	Scc2	rep1	ChIP-exo	normal	GSM4449986	yes
17930	Scc2	rep2	ChIP-exo	normal	GSM4449987	yes
12064	Scc4	rep1	ChIP-exo	normal	GSM4449988	
13479	Sch9	rep1	ChIP-exo	normal	GSM4449989	
17925	Sda1	rep1	ChIP-exo	normal	GSM4449990	
12086	Sdc1	rep1	ChIP-exo	normal	GSM4449991	yes
15650	Sdc1	rep2	ChIP-exo	normal	GSM4449992	yes
11843	Sds3	rep1	ChIP-exo	normal	GSM4449993	
11907	Sen1	rep1	ChIP-exo	normal	GSM4449994	yes
14267	Sen1	rep2	ChIP-exo	normal	GSM4449995	yes
14475	Ser2	rep1	ChIP-exo	normal	GSM4449996	
12443	Set1	rep1	ChIP-exo	normal	GSM4449997	yes
